Card#,Title,Artist,Year,SpotifyURL
1,"Heute male ich dein Bild, Cindy Lou (The Birds and the Bees)",Drafi Deutscher,1965,https://open.spotify.com/track/6S0Y6EQoeWX8sh3iydAUN5
2,Aloha Heja He,Achim Reichel,1991,https://open.spotify.com/track/7zJ484L2fucBwgfvUjb6Mv
3,Herz auf rot,G.G. Anderson,2003,https://open.spotify.com/track/2nRvwfAs9iTfxvUNHWcJNL
4,Sternenregen,Thomas Anders,2017,https://open.spotify.com/track/7g3M5euTiBBoTJ9bQ12tYr
5,Das Lied der Schlümpfe,Vader Abraham,1977,https://open.spotify.com/track/0mwDB1nJ18ln9zoO4bkrOt
6,Jenseits von Eden,Nino de Angelo,1983,https://open.spotify.com/track/27VPRHQEmPWzzWniICgY93
7,Die Hände Zum Himmel,Die Kolibris,1998,https://open.spotify.com/track/6NvKqGgbYwbqWRVyIdZjGR
8,So wie man tanzt so liebt man,Maite Kelly,2011,https://open.spotify.com/track/4geRKNmqbOSJc1GvweEAUK
9,Ich lass' nur noch Sonne in mein Herz,Liane,2014,https://open.spotify.com/track/0MGLXSJHMO1IY0LiQKYR5i
10,Schönes Madchen aus Arcadia,Demis Roussos,1973,https://open.spotify.com/track/02NKTxBbcbauX1saQ6Vlcm
11,Ich Will dich immer noch,Matthias Reim,2007,https://open.spotify.com/track/0YMzG6R5oOEuQiKmyu72JN
12,I steh auf Bergbauernbuam,Melissa Naschenweng,2019,https://open.spotify.com/track/1waQTvOWV18qC4qEyo9pGu
13,Welch ein Tag,Mario Jordan,1992,https://open.spotify.com/track/3e7Ql9dUikobAMk5iHrVGI
14,Mama Laudaaa,"Almklausi, Specktakel",2018,https://open.spotify.com/track/1RcWWgnw5fVm3wcNq11zBu
15,Frankreich Frankreich,Bläck Fööss,1985,https://open.spotify.com/track/5ZC4HBv4CnBuppLIycGJIq
16,Ich Bin Da,Jan Smit,2013,https://open.spotify.com/track/3Wc1b0B74Xw65k5paLxFzu
17,Heute fahrt die 18 bis nach Istanbul,BB Jürgen,2005,https://open.spotify.com/track/1dv17FKzaL1rXrZbtoESBJ
18,Der Eiermann,Klaus & Klaus,1988,https://open.spotify.com/track/6aUN5gXfkXKl4GBiVTLLZI
19,Zu nah am Feuer,"Stefan Waggershausen, Alice",1984,https://open.spotify.com/track/17Kn7Sfe7zsPM1MfOiXGGB
20,Hier Spricht die Polizei,Sandy Wagner,2002,https://open.spotify.com/track/3DelaacjOD7LpDygDydl9L
21,Kettenkarussell,Ross Antony,2014,https://open.spotify.com/track/3UeKTVMcnZbpOfR3OVF9D1
22,Schlager ist nicht kriminell,Rebel Tell,2022,https://open.spotify.com/track/63DySotNQMM0WpJkf0Mg9L
23,Su Mädche wie mir - Zwei Kerle wie wir,Colör,2001,https://open.spotify.com/track/4WLKnFCLxcK0Wtx7T8FDIQ
24,Der Kommissar,Falco,1982,https://open.spotify.com/track/3TBRJsLCcwroEkA3tD4u2N
25,Dein Zug ist abgefahr'n,Nico Gemba,2007,https://open.spotify.com/track/5efFSxP9iYXdUcstMbVspS
26,Mein lieber Mann,Hanne Haller,1989,https://open.spotify.com/track/07gDofsPhMYgXz6zNbCuaI
27,Codo (...düse im Sauseschritt),Döf,1983,https://open.spotify.com/track/5qvdVmvmbMGWMcmZ60vlPu
28,"Du bist alles (Maria, Maria) (You Want Love)",Andreas Martin,1987,https://open.spotify.com/track/3BSKeUQ1VuAJ2q6tpEAWtr
29,Verliab di,Trenkwalder,2001,https://open.spotify.com/track/4wWCfdkg0aWAwXZNs9qpoa
