Card#,Title,Artist,Year,SpotifyURL
57,Sex on Fire,Kings of Leon,2008,https://open.spotify.com/track/0ntQJM78wzOLVeCUAW7Y45
58,An guten Tagen,Johannes Oerding,2019,https://open.spotify.com/track/5UUtkgpCWxV9JtQP8iqOzy
59,Love Is A Shield,Camouflage,1989,https://open.spotify.com/track/7IBff7ScohvP2pdfHR6YLE
60,Bad,Michael Jackson,1987,https://open.spotify.com/track/3tS8q8SXxtrYSN8UgeQt6q
61,Angels,Robbie Williams,1997,https://open.spotify.com/track/1M2nd8jNUkkwrc1dgBPTJz
62,Ma Baker,Boney M.,1977,https://open.spotify.com/track/1BqnZOkYJbvYLOhN0qPJDm
63,Eye of the Tiger,Survivor,1982,https://open.spotify.com/track/2KH16WveTQWT6KOG9Rg6e2
64,Higher Power,Coldplay,2021,https://open.spotify.com/track/0939D7aT18uBDS2MTjWzct
65,Ballroom Blitz,Sweet,1973,https://open.spotify.com/track/6k6j3ZUljY1QLTMbc8VqB0
66,This Flight Tonight,Nazareth,1973,https://open.spotify.com/track/1BmcaqiAwi3kbkCHNgSGuG
67,Here I Am,Dominoe,1987,https://open.spotify.com/track/1IDeAs57vupiUdvMkceoqY
68,Hello - Turn Your Radio On,Shakespears Sister,1992,https://open.spotify.com/track/28CbxqvoML43nJMU68VPx1
69,Sunglasses At Night,Corey Hart,1983,https://open.spotify.com/track/1QbQL5m30YNvukitIqAnFG
70,Frozen,Madonna,1998,https://open.spotify.com/track/2II03llydk4YnkBBvoYB3B
71,Supergirl,Reamonn,2000,https://open.spotify.com/track/3FhNJaCNypOAnZccdYGAWN
72,Lady In Black,Uriah Heep,1971,https://open.spotify.com/track/5oiW1xvNQYs6PGSYOWmFBs
73,No Roots - Live from Spotify Berlin,Alice Merton,2016,https://open.spotify.com/track/5GsHS1Yfp3o0NzaJW9SQNQ
74,Se bastasse una canzone,Eros Ramazzotti,1990,https://open.spotify.com/track/7dp45uA0Ws4TadWaMwdIRw
75,Children,Robert Miles,1995,https://open.spotify.com/track/3boi65u59Ex9jbhLXcXwre
76,A New Day Has Come,Céline Dion,2002,https://open.spotify.com/track/6LefIBy3hzTN6Yd1m81gpC
