Card#,Title,Artist,Year,SpotifyURL
1,Sie war erst siebzehn (und neu in der Stadt),Frank Farian,1979,https://open.spotify.com/track/0X6sLL2DHHmwHYqlF22J2x
2,Some Nights,fun.,2012,https://open.spotify.com/track/6t6oULCRS6hnI7rm0h5gwl
3,Daylight in Your Eyes (Radio Version),No Angels,2001,https://open.spotify.com/track/07PFC8QHsm3mql76jDucwH
4,Smooth Operator - Single Version,Sade,1984,https://open.spotify.com/track/1Hv1VTm8zeOeybub15mA2R
5,Stimme,EFF,2015,https://open.spotify.com/track/1dB19ppPm5cMuLaEm9jbDD
6,Taschenrechner - 2009 Remaster,Kraftwerk,1981,https://open.spotify.com/track/5NNIxs46bsdO4DLZALKVoG
7,Cheri Cheri Lady,Modern Talking,1985,https://open.spotify.com/track/2aEuA8PSqLa17Y4hKPj5rr
8,Beggin (original version),Madcon,2007,https://open.spotify.com/track/1XyL3J7eTTKnxRZAM3LqIT
9,Bohemian Like You,The Dandy Warhols,2000,https://open.spotify.com/track/3APHT3KjbHi9OllkVQsuXF
10,An Tagen wie diesen,Fettes Brot,2005,https://open.spotify.com/track/1rbnDRx6VuKAGS36CmiyQD
11,If You Tolerate This Your Children Will Be Next,Manic Street Preachers,1998,https://open.spotify.com/track/2VmyLy2HQlkevZYboXHM5O
12,abcdefu,GAYLE,2021,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL
13,Happier,Marshmello,2018,https://open.spotify.com/track/7BqHUALzNBTanL6OvsqmC1
14,Unstoppable,Sia,2016,https://open.spotify.com/track/1yvMUkIOTeUNtNWlWRgANS
15,Walkin' On The Sun,Smash Mouth,1997,https://open.spotify.com/track/4TQeNHx85xcP9YRkvJC6K1
16,Te Felicito,Shakira,2022,https://open.spotify.com/track/2rurDawMfoKP4uHyb2kJBt
17,Verpiss dich,Tic Tac Toe,1996,https://open.spotify.com/track/0hWaBqfcddUlqOk33fpx3G
18,Flugzeuge im Bauch - Radio Mix,Oli. P,1998,https://open.spotify.com/track/5tYNY1VFSIl30D9TQWcUJ1
19,Locked out of Heaven,Bruno Mars,2012,https://open.spotify.com/track/3w3y8KPTfNeOKPiqUTakBh
20,Stronger (What Doesn't Kill You),Kelly Clarkson,2011,https://open.spotify.com/track/1nInOsHbtotAmEOQhtvnzP
21,My Immortal,Evanescence,2003,https://open.spotify.com/track/4UzVcXufOhGUwF56HT7b8M
22,Give Me Everything (feat. Nayer),Pitbull,2011,https://open.spotify.com/track/4QNpBfC0zvjKqPJcyqBy9W
23,Alright,Supergrass,1995,https://open.spotify.com/track/5CQvKyzkWI7TnUu2oB9QZ0
24,Troublemaker (feat. Flo Rida),Olly Murs,2012,https://open.spotify.com/track/6s8nHXTJVqFjXE4yVZPDHR
25,Be My Baby,Vanessa Paradis,1992,https://open.spotify.com/track/5UkoitnvaDUSsq7cVsOdOh
26,Time After Time,Cyndi Lauper,1983,https://open.spotify.com/track/7o9uu2GDtVDr9nsR7ZRN73
27,Corazon Espinado (feat. Mana),Santana,1999,https://open.spotify.com/track/2WoqgtWEBbbBKMDN6Becs7
28,Sympathy For The Devil - 50th Anniversary Edition,The Rolling Stones,1968,https://open.spotify.com/track/1Ud6moTC0KyXMq1Oxfien0
29,Jubel - Radio Edit,Klingande,2013,https://open.spotify.com/track/33iK9CzQBhKQ0DoO8xX9yC
30,Loser,Beck,1994,https://open.spotify.com/track/5NTZM8YYeKM2YsGSffVIge
31,Waiting For Love,Avicii,2015,https://open.spotify.com/track/2P4OICZRVAQcYAV2JReRfj
32,Demons,Imagine Dragons,2012,https://open.spotify.com/track/5qaEfEh1AtSdrdrByCP7qR
33,That's Not My Name,The Ting Tings,2007,https://open.spotify.com/track/1i1OuCNhNf7JwrlWlFZFu1
34,What's Up?,4 Non Blondes,1993,https://open.spotify.com/track/0jWgAnTrNZmOGmqgvHhZEm
35,Heat Waves,Glass Animals,2020,https://open.spotify.com/track/3USxtqRwSYz57Ewm6wWRMp
36,"Irgendwie, irgendwo, irgendwann",Nena,1984,https://open.spotify.com/track/2KTxKoM4iUYCtuUGGIh9Qu
37,Vermissen (feat. Henning May),Juju,2019,https://open.spotify.com/track/1SSzM044DUbVpYNNHWIhYJ
38,Der Mann im Mond,Gus Backus,1961,https://open.spotify.com/track/6xkcirvWdsf2E9TYSp3Yni
39,"Right Here, Right Now",Fatboy Slim,1998,https://open.spotify.com/track/5Sh9v7RwibuV34tdjscwx5
40,Ain't Your Mama,Jennifer Lopez,2016,https://open.spotify.com/track/2hgzdQdnfWwtdpZbhZlV72
41,All The Small Things,blink-182,1999,https://open.spotify.com/track/2m1hi0nfMR9vdGC8UcrnwU
42,Animals,Maroon 5,2014,https://open.spotify.com/track/2bL2gyO6kBdLkNSkxXNh6x
43,Like a Rolling Stone,Bob Dylan,1965,https://open.spotify.com/track/3AhXZa8sUQht0UEdBJgpGc
44,Highway to Hell,AC/DC,1979,https://open.spotify.com/track/2zYzyRzz6pRmhPzyfMEC8s
45,Breathless,The Corrs,2000,https://open.spotify.com/track/5OQGeJ1ceykovrykZsGhqL
46,My Sweet Lord (2014 Remaster),George Harrison,1970,https://open.spotify.com/track/0KZodeWxqxd88F9wY1cqgs
47,Rhythm Is a Dancer,SNAP!,1992,https://open.spotify.com/track/5uFYYOyT3EclOVhiFzPJSz
48,It Must Be Love,Madness,1981,https://open.spotify.com/track/1rzv8kSbkExz2wIQ4EYRql
49,Für Dich,Yvonne Catterfeld,2003,https://open.spotify.com/track/3QYi6nQ5sDi4eNh0DHZujh
50,Mirror Mirror - Remastered 2007,Blind Guardian,1998,https://open.spotify.com/track/4gFhLQA90CAFuS0Ma8aIiX
51,In The Air Tonight - 2015 Remastered,Phil Collins,1981,https://open.spotify.com/track/18AXbzPzBS8Y3AkgSxzJPb
52,Shivers,Ed Sheeran,2021,https://open.spotify.com/track/50nfwKoDiSYg8zOCREWAm5
53,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Calvin Harris,2017,https://open.spotify.com/track/5bcTCxgc7xVfSaMV3RuVke
54,I'm Still Standing,Elton John,1983,https://open.spotify.com/track/1jDJFeK9x3OZboIAHsY9k2
55,Stay With Me,Sam Smith,2014,https://open.spotify.com/track/5Nm9ERjJZ5oyfXZTECKmRt
56,greedy,Tate McRae,2023,https://open.spotify.com/track/3rUGC1vUpkDG9CZFHMur1t
57,There Must Be an Angel (Playing With My Heart),Eurythmics,1985,https://open.spotify.com/track/1YJ4vpxPL6Wgo8gmRnvqSp
58,Together Again,Janet Jackson,1997,https://open.spotify.com/track/1aJnGme5ZRltYTp8FJ52eZ
59,1973,James Blunt,2007,https://open.spotify.com/track/1BV0m40U0M4t1SLIsDnwZl
