Card#,Title,Artist,Year,SpotifyURL
51,Yellow Submarine,The Beatles,1968,https://open.spotify.com/track/1tdltVUBkiBCW1C3yB4zyD
52,"Der Mann, der zuviel wusste (Que Sera Sera)","Doris Day, Frank DeVol",1956,https://open.spotify.com/track/3Dnv944x31XU4FFMlkfnWN
53,Batman,Danny Elfman,1989,https://open.spotify.com/track/50csT5Qb2qOF7lHdDQ1Sbx
54,Armageddon (I Don't Want to Miss a Thing),Aerosmith,1998,https://open.spotify.com/track/225xvV8r1yKMHErSWivnow
55,Shaft,Isaac Hayes,1971,https://open.spotify.com/track/7KMILVTQdVS4zQ8ilTcpRO
56,Das Leben des Brian (Always Look On The Bright Side Of Life),Monty Python,1979,https://open.spotify.com/track/4w4PgMDgs76fjkclszAeBg
57,Game of Thrones,Ramin Djawadi,2011,https://open.spotify.com/track/2kgJYQKyQ1CK5GWcCUGwwh
58,The Mandalorian,Ludwig Göransson,2019,https://open.spotify.com/track/6tJFtthY0rI1x06qb8NjK0
59,Akte X - The X Files,John Beal,1993,https://open.spotify.com/track/3pDZSfOSszYWMYygDiuPJx
60,Die Schöne und das Biest - Beauty and the Beast,Angela Lansbury,1991,https://open.spotify.com/track/63TOQuLOSuU5ip7JgE98gk
61,Moulin Rouge (El Tango De Roxanne),"José Feliciano,Ewan McGregor,Jacek Koman",2001,https://open.spotify.com/track/2aXDWWlbLUapMZnYNDErmv
62,Superman,John Williams,1978,https://open.spotify.com/track/4tABZngfyleLXr5wxHgRxZ
63,Jenseits von Afrika (I Had A Farm),John Barry,1985,https://open.spotify.com/track/2CVcuBnF52i0gPba28XWgx
64,Wednesday,Danny Elfman,2022,https://open.spotify.com/track/3dd9uXh41vmFLO3UvqLJL6
65,Der letzte Tango in Paris,Gato Barbieri,1972,https://open.spotify.com/track/2dRjEirtMproK2r4gzda1j
66,So wie wir waren - The Way We Were,Barbra Streisand,1973,https://open.spotify.com/track/2ikN7VZRuWAkxWaKtk2hYU
67,Twin Peaks,Angelo Badalamenti,1990,https://open.spotify.com/track/5xdtUZKYnE4l7KSzgQ6MBD
