Card#,Title,Artist,Year,SpotifyURL
57,Sing Hallelujah!,Dr. Alban,1993,https://open.spotify.com/track/2qjDNbgLzfBpCvDwfw11Qg
58,Set Fire to the Rain,Adele,2011,https://open.spotify.com/track/3di5hcvxxciiqwMH1jarhY
59,Herz an Herz,Blümchen,1996,https://open.spotify.com/track/1X7654uBsdVKnZAqyIJT7y
60,Tage Wie diese,Die Toten Hosen,2012,https://open.spotify.com/track/2lYsCjTvXIHOqT8xSbK2jq
61,Sweet Caroline,Neil Diamond,1969,https://open.spotify.com/track/62AuGbAkt8Ox2IrFFb8GKV
62,Do Wah Diddy Diddy,Manfred Mann,1964,https://open.spotify.com/track/0Edz7VB0AliCkoEL2XRYIi
63,Über sieben Brücken musst du gehn,Karat,1978,https://open.spotify.com/track/6lhzUwb3Ggfi1tPR3YoIh6
64,Don't Leave Me This Way,Thelma Houston,1976,https://open.spotify.com/track/51qi5dgc9CsotM87GmRkAX
65,Can't Hold Us (feat. Ray Dalton),Macklemore & Ryan Lewis,2011,https://open.spotify.com/track/3bidbhpOYeV4knp8AIu8Xn
66,Do You Know? (The Ping Pong Song),Enrique Iglesias,2007,https://open.spotify.com/track/4MloswMM3eu7dHZ7MOzW3i
67,Warum?,Tic Tac Toe,1997,https://open.spotify.com/track/39Qd2qBDQdREL3aLTb9F0d
68,Gimme Hope Jo'Anna,Eddy Grant,1988,https://open.spotify.com/track/6W99yGcIH43jskdRA7idD3
69,Wind of Change,Scorpions,1991,https://open.spotify.com/track/3ovjw5HZZv43SxTwApooCM
70,Le Freak,CHIC,1978,https://open.spotify.com/track/4qL9VYPB4XwJKAOq4xn2Mh
71,Haus am See,Peter Fox,2008,https://open.spotify.com/track/7A4KdLy1DXOOC5fhIdDuHz
72,Poker Face,Lady Gaga,2008,https://open.spotify.com/track/1QV6tiMFM6fSOKOGLMHYYg
73,It's a Heartache,Bonnie Tyler,1977,https://open.spotify.com/track/1Y7VG310Lf5IYP7sVOob4X
74,Johnny B. Goode,Chuck Berry,1958,https://open.spotify.com/track/2QfiRTz5Yc8DdShCxG1tB2
75,White Wedding,Billy Idol,1982,https://open.spotify.com/track/35i19j4Zz7WaL5KozRHjyQ
76,Rigoletto: ""La Donna E' Mobile"",Enrico Caruso,1908,https://open.spotify.com/track/7idTMG6EKZy0531lIx8RJ5
77,Without You (feat. Sandro Cavazza),"Avicii, Sandro Cavazza",2017,https://open.spotify.com/track/6Pgkp4qUoTmJIPn7ReaGxL
78,Volare (Nel Blu di Pinto di Blu),Gipsy Kings,1989,https://open.spotify.com/track/4OjJAGDDZTLlTNeOMBl7UM
79,Ca plane pour moi,Plastic Bertrand,1977,https://open.spotify.com/track/4sf4Lq52b2iCoAgpge7a9g
80,Born to Be Alive,Patrick Hernandez,1978,https://open.spotify.com/track/3XIEWK1V9n25PS9Vb6axj5
81,Whole Lotta Love,Led Zeppelin,1969,https://open.spotify.com/track/0hCB0YR03f6AmQaHbwWDe8
82,Ein Kompliment,Sportfreunde Stiller,2002,https://open.spotify.com/track/5QRkWkMabF6HJmQQm2HBVX
83,In the Mood,Glenn Miller,1939,https://open.spotify.com/track/5sj197xVLlMuwxgSCXYEkU
84,Wahnsinn,Wolfgang Petry,1983,https://open.spotify.com/track/7pAOcmT8XYXE40apvk9j2k
85,Counting Stars,OneRepublic,2013,https://open.spotify.com/track/2tpWsVSb9UEmDRxAl1zhX1
86,Dragostea din tei,O-Zone,2003,https://open.spotify.com/track/52Zr0sinhWTCRrQhRRY4EP
87,Everybody Hurts,R.E.M.,1992,https://open.spotify.com/track/6PypGyiu0Y2lCDBN1XZEnP
88,Just Give Me a Reason (feat. Nate Ruess),"Pink, Nate Ruess",2013,https://open.spotify.com/track/1mKXFLRA179hdOWQBwUk9e
89,Joyride,Roxette,1991,https://open.spotify.com/track/6gRrBRrtwSB9CYbHJx4MIe
90,(We're Gonna) Rock Around The Clock,Bill Haley & His Comets,1954,https://open.spotify.com/track/1uRKT2LRANv4baowBWHfDS
91,Bette Davis Eyes,Kim Carnes,1981,https://open.spotify.com/track/0odIT9B9BvOCnXfS0e4lB5
92,Lambada,Kaoma,1989,https://open.spotify.com/track/6xepovPqjvrkEw9Y5AMmTm
