Card#,Title,Artist,Year,SpotifyURL
1,Walking On Sunshine,Katrina & The Waves,1983,https://open.spotify.com/track/05wIrZSwuaVWhcv5FfqeH0
2,Summer In the City,Joe Cocker,1994,https://open.spotify.com/track/1iL3mf4SA0iemXFHN4GVXy
3,Perfect,Fairground Attraction,1988,https://open.spotify.com/track/2X90tKH59XlulLjbT4vci1
4,Have You Ever Seen The Rain,Creedence Clearwater Revival,1970,https://open.spotify.com/track/2LawezPeJhN4AWuSB0GtAU
5,Je ne parle pas français,Namika,2018,https://open.spotify.com/track/4eJqzRN15DabYK4byfWghD
6,One Dance,Drake,2016,https://open.spotify.com/track/1zi7xx7UVEFkmKfv06H8x0
7,Vayamos compañeros,Marquess,2007,https://open.spotify.com/track/6LTAv2W4zYWM5rSKdgHWZS
8,MMMBop,Hanson,1997,https://open.spotify.com/track/0lnxrQAd9ZxbhBBe7d8FO8
9,High,Lighthouse Family,1997,https://open.spotify.com/track/0AQHfKjzky28rf5ytfBANJ
10,All Night Long (All Night),Lionel Richie,1983,https://open.spotify.com/track/1DxT6f6mH7kLriOUWbujup
11,Let The Music Play,Barry White,1976,https://open.spotify.com/track/2sR6PY1YgPZTB8hZflRbFq
12,Shut Up (And Sleep With Me),Sin With Sebastian,1995,https://open.spotify.com/track/7hrTKa1ox63BK92heUKt5f
13,Baila Me,Gipsy Kings,1991,https://open.spotify.com/track/06HRc41zK97Hh9AcuyXVZn
14,Summertime,DJ Jazzy Jeff & The Fresh Prince,1991,https://open.spotify.com/track/20XdEFyaUR9C7aDIdq2OAd
15,Suavemente,Elvis Crespo,1998,https://open.spotify.com/track/7JIjUx3GsL0upxmNJacmtz
16,I Gotta Feeling,Black Eyed Peas,2009,https://open.spotify.com/track/4kLLWz7srcuLKA7Et40PQR
17,The Look,Roxette,1988,https://open.spotify.com/track/7akWKDSf4k0Q0AHGoG91hu
18,Mysterious Girl,Peter Andre,1995,https://open.spotify.com/track/6NLJlusvVnw31IYwU6mDPr
19,Breaking Me,Topic,2019,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
20,Here Comes The Sun,The Beatles,1969,https://open.spotify.com/track/6dGnYIeXmHdcikdzNNDMm2
21,Eine Woche wach,Mickie Krause,2019,https://open.spotify.com/track/6aRlZoOO6dqXQtqq2wiQZ1
22,Was du Liebe nennst,Bausa,2017,https://open.spotify.com/track/2hIY4sjfMeKwXXh2LvhrMo
23,A Horse With No Name,America,1971,https://open.spotify.com/track/54eZmuggBFJbV7k248bTTt
24,How Deep Is Your Love,Calvin Harris,2015,https://open.spotify.com/track/22mek4IiqubGD9ctzxc69s
25,Hey Baby,DJ Ötzi,2000,https://open.spotify.com/track/5g3rL93FXCoTZwP2zr9RE5
26,Lady Marmalade,Christina Aguilera,2001,https://open.spotify.com/track/7uFwgf6ee162UIu7bDxk3q
27,Loco Contigo (feat. J. Balvin & Tyga),DJ Snake,2019,https://open.spotify.com/track/6osaMSJh9NguagEDQcZaKx
28,Girl You Know It's True,Milli Vanilli,1988,https://open.spotify.com/track/0C7dYeCLF6ukChtW64UNge
29,Alles neu,Peter Fox,2008,https://open.spotify.com/track/5hqxBvQJ3XJDSbxT9vyyqA
30,Reggae Night,Jimmy Cliff,1983,https://open.spotify.com/track/1OE5bn5HUmCqTLNpo13ya3
31,World In Our Hands,Taio Cruz,2011,https://open.spotify.com/track/79xJXZeudmfMq4ay9yCFGd
32,Mama Loo,Les Humphries Singers,1973,https://open.spotify.com/track/3Y37ytfQDMp2KTA1SG9bpl
33,New York-Rio-Tokyo,Trio Rio,1986,https://open.spotify.com/track/68h3Um0UOY8FkMfcelv4Vb
34,Sunshine Reggae,Laid Back,1983,https://open.spotify.com/track/0z0JSkE5Nw3i3nin3BBSuG
35,Sun of Jamaica,Goombay Dance Band,1979,https://open.spotify.com/track/5apwlmvQphkCJbHnMGUP2t
36,Sweet Sixteen,Billy Idol,1987,https://open.spotify.com/track/2QH4s1Hn7XXZzBzdzS7TQz
37,All I Wanna Do,Sheryl Crow,1994,https://open.spotify.com/track/3ZpQiJ78LKINrW9SQTgbXd
38,"Ella, elle l'a",France Gall,1987,https://open.spotify.com/track/6fyyO9wAmiW9oEAXrOR8jQ
39,Sweat (A La La La La Long),Inner Circle,1992,https://open.spotify.com/track/24Si0Kw3pu2RxX1jrbBg5A
40,River,Tom Gregory,2021,https://open.spotify.com/track/5nD2zmNcN7jZ1lrdj4ZVxX
41,"Boom, Boom, Boom, Boom!!",Vengaboys,1998,https://open.spotify.com/track/5N6M8yDiMV32T6Rkzh8EbW
42,So schmeckt der Sommer,Edward Reekers,1995,https://open.spotify.com/track/0ftIaUx27vc9K0ztdiZgHf
