Card#,Title,Artist,Year,SpotifyURL
57,Back for Good,Take That,1995,https://open.spotify.com/track/6vcdzohhBSbNdsZBh5IRpQ
58,Shake It Off,Taylor Swift,2014,https://open.spotify.com/track/0cqRj7pUJDkTCEsJkx8snD
59,How Will I Know (Who You Are),Jessica Folcker,1998,https://open.spotify.com/track/3AC8WrZdwW6bycdNtm15fD
60,Marvin Gaye (feat. Meghan Trainor),Charlie Puth,2015,https://open.spotify.com/track/3rKYiySCDMUKTw5kGVVhaa
61,Hotel California,Eagles,1976,https://open.spotify.com/track/1rh232CwAy3EDEWFJkwH88
62,Komm gib mir deine Hand,Tony Marshall,1971,https://open.spotify.com/track/7d7CrztpZG7NGb0b2Td5DA
63,Schickeria,Spider Murphy Gang,1981,https://open.spotify.com/track/1mOIOim4QHFVKavrJQ8G90
64,"Ja, ja, die Katja, die hat ja",Heino,1980,https://open.spotify.com/track/15AckmWpq9fpJ9MpwIGdyu
65,Als wär's das erste Mal,Unheilig,2014,https://open.spotify.com/track/1gXzUndDpLJf1k8iyOThhU
66,Amazing,INNA,2010,https://open.spotify.com/track/52hQY9AntPqOQM46N9BnfC
67,Bye Bye Bye,*NSYNC,2000,https://open.spotify.com/track/4r8lRYnoOGdEi6YyI5OC1o
68,"Baby, Baby",Amy Grant,1991,https://open.spotify.com/track/3IDsegNBHC4pjGCOMTQYlU
69,Sexbomb,Tom Jones,1999,https://open.spotify.com/track/7GHKA8GIMcND6c5nN1sFnD
70,Up Where We Belong,Joe Cocker,1982,https://open.spotify.com/track/5NoUgO4Kr93QymQGQlBC7b
71,Domino,Jessie J,2011,https://open.spotify.com/track/2fQxE0jVrjNMT9oJAXtSJR
72,Hold My Hand,Lady Gaga,2011,https://open.spotify.com/track/0oWraSo5ASJ0h1BEagTyEw
73,It's Raining Men,The Weather Girls,1982,https://open.spotify.com/track/2IvetNzSZMH5gwjInoyr18
74,Mit 17 hat man noch Träume,Peggy March,1965,https://open.spotify.com/track/200gZLuP5B2bQcW1MMX8gM
75,Sommernacht in Rom,G.G. Anderson,1985,https://open.spotify.com/track/5h87ecAlxNNuIDnpSof1zx
76,Itsy Bitsy Teenie Weenie Yellow Polka Dot Bikini,Brian Hyland,1960,https://open.spotify.com/track/4aTCNddtjztjuK2EOgz7ZZ
77,Post Malone (feat. RANI),Sam Feldt,2019,https://open.spotify.com/track/0qc4QlcCxVTGyShurEv1UU
78,Nächstes Mal am Ende der Welt,Valeries Garten,1992,https://open.spotify.com/track/11Jwtc61ke1D1K95C1j08p
79,More Than This,Roxy Music,1982,https://open.spotify.com/track/6N7gPTru90HYLRUIVDQ185
80,Come On Eileen,Dexys Midnight Runners,1982,https://open.spotify.com/track/3MrWxJaD2AT0W9DjWF64Vm
81,Heaven Must Be Missing An Angel,Tavares,1976,https://open.spotify.com/track/2D1DYZYTmhZBjWtCO9Oqdw
82,I Don't Feel Like Dancin',Scissor Sisters,2006,https://open.spotify.com/track/1q9l6c8bAzqWcvO3DM6FsR
83,Let's Twist Again,Chubby Checker,1961,https://open.spotify.com/track/1INWPr855fwWdAOeecbu0W
84,Bamboléo,Gipsy Kings,1987,https://open.spotify.com/track/3iB8eciGU9vZkaDYkz7Ir9
85,Herzbeben,Helene Fischer,2017,https://open.spotify.com/track/5mWceciQV51RPCBQCLAm3U
86,I Kissed A Girl,Katy Perry,2008,https://open.spotify.com/track/14iN3o8ptQ8cFVZTEmyQRV
87,Ironic,Alanis Morissette,1995,https://open.spotify.com/track/29YBihzQOmat0U74k4ukdx
88,Mercy,Shawn Mendes,2016,https://open.spotify.com/track/0AS63m1wHv9n4VVRizK6Hc
89,Flying,Nice Little Penguins,1994,https://open.spotify.com/track/1DgZBCT9XFZOY610rLyHOE
90,It's My Party,Lesley Gore,1963,https://open.spotify.com/track/1Pq47iFLC5U7j8xeNiNcuS
91,To All the Girls I've Loved Before,Julio Iglesias & Willie Nelson,1984,https://open.spotify.com/track/0uBwcaTkY1BPpIZhxuhS67
92,Dann küss mich doch,Nicole,1992,https://open.spotify.com/track/2Hy1YFHJDcPymCHCNN2R4h
93,Heaven Is A Place On Earth,Belinda Carlisle,1987,https://open.spotify.com/track/37Q5anxoGWYdRsyeXkkNoI
94,All By Myself,Eric Carmen,1975,https://open.spotify.com/track/0AQqrtK1pULuwZUXhwaaDz
95,I Love Your Smile,Shanice,1991,https://open.spotify.com/track/69mFxANpGyq9s69LqH3d9G
96,Summer Son,Texas,1999,https://open.spotify.com/track/4CfmAinsGt7f9IUvQ3XBGW
97,7 Seconds (feat. Neneh Cherry),Youssou N'Dour,1994,https://open.spotify.com/track/4sv1iemiMkkZVTUbV16C8L
98,Perfect Strangers,Jonas Blue,2016,https://open.spotify.com/track/3P3pw6C19j31Rnzgo3JG7o
99,Rescue Me,Bell Book & Candle,1997,https://open.spotify.com/track/6yIeEm9PYCO02NM1VplGci
100,Ein Festival der Liebe,Jürgen Marcus,1973,https://open.spotify.com/track/4fDg7BCqpalASqTuWzssQX
101,TiK ToK,Ke$ha,2009,https://open.spotify.com/track/0HPD5WQqrq7wPWR7P7Dw1i
102,Livin' On A Prayer,Bon Jovi,1986,https://open.spotify.com/track/37ZJ0p5Jm13JPevGcx4SkF
103,Symphonie,Silbermond,2004,https://open.spotify.com/track/7mOD9NFyZhC8PtW4joWDWT
104,Weather With You,Crowded House,1992,https://open.spotify.com/track/6tXnRSvuNgOq4QcxpIN54r
105,Downtown,Petula Clark,1964,https://open.spotify.com/track/6S55C80YzjhSrCRRd1p80b
106,Felicità,Al Bano And Romina Power,1982,https://open.spotify.com/track/7sXTcibuNYugjjYNfgf2kY
107,Ich bin nicht mehr dein Clown (... die Manege ist leer),Olaf Henning,1997,https://open.spotify.com/track/3kGmp5Q5O7bnWUvhvpf9bk
108,9 to 5,Dolly Parton,1980,https://open.spotify.com/track/4w3tQBXhn5345eUXDGBWZG
109,Don't Worry Be Happy,Bobby McFerrin,1988,https://open.spotify.com/track/5YbgcwHjQhdT1BYQ4rxWlD
110,I Can't Help Myself,Four Tops,1965,https://open.spotify.com/track/6b6IMqP565TbtFFZg9iFf3
111,Joy To The World,Three Dog Night,1971,https://open.spotify.com/track/2ymeOsYijJz09LfKw3yM2x
112,Made You Look,Meghan Trainor,2022,https://open.spotify.com/track/0QHEIqNKsMoOY5urbzN48u
113,Keeping Your Head Up,Birdy,2016,https://open.spotify.com/track/6hM3nQbefoSTwiemMIICTU
114,Liebeskummer Lohnt Sich Nicht,Siw Malmkvist,1964,https://open.spotify.com/track/5wfSJoeeGeyovIOYHyqi2O
115,Levitating,Dua Lipa,2020,https://open.spotify.com/track/5uu0D02efCoFMQiLYFT32e
116,Beiß nicht gleich in jeden Apfel,Wencke Myhre,1966,https://open.spotify.com/track/2TFGrCMgoB4yYIhvrItdnL
117,Ein Stern (der deinen Namen trägt),DJ Ötzi & Nik P.,2006,https://open.spotify.com/track/1o5evgltJughVgrPinzAOV
118,Just the Way You Are,Bruno Mars,2010,https://open.spotify.com/track/47Slg6LuqLaX0VodpSCvPt
119,The Joker,Steve Miller Band,1974,https://open.spotify.com/track/1bp2IO61zbQrbWNmKKxg3f
120,(Is This The Way To) Amarillo,Tony Christie,1971,https://open.spotify.com/track/3FJ3wfXtlXhY4a11OnwXHf
121,Book Of Love (feat. Polina),Felix Jaehn,2015,https://open.spotify.com/track/2erg7Xduc8OHhkLepV4eER
122,"Küss mich, Halt mich, Lieb mich (Drei Haselnüsse für Aschenbrödel)",Ella Endlich,2009,https://open.spotify.com/track/5EZ8uKJw3Q2ayzNdWyJhdA
